10336;3.60;7;50
11415;7.90;18;20
10512;18.70;12;30
10513;18.70;12;30
10514;18.70;12;30
12184;17.00;7;100
12188;79.00;12;100
12253;23.90;18;50
14517;3.00;7;50
11103;7.00;18;30
11107;7.50;18;30
11096;9.20;18;30
14102;1.95;7;50
14108;15.10;18;20
14223;25.20;18;10
15330;13.90;7;30
15332;25.95;12;30
15630;7.60;12;30
15622;13.22;12;30
14580;26.50;12;20
14556;13.50;7;50
14560;22.50;7;30
14578;12.45;12;100
10090;3.70;18;100
10088;6.35;18;100
10093;4.00;18;100
10095;17.65;18;50
11480;21.75;18;100
11483;22.75;18;100
11470;20.12;18;100
